faceID,file,graphic,person,situation,bg,shotangle,ID,facecounter,detect,obscured,lighting,headangle,glasses,visorhat,type,time.user.self,time.sys.self,time.elapsed,minX,maxX,minY,maxY,boxID,matchesManual,size,year,court,round,player1,country1,player2,country2,matchDraw,duplicates
23,2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0023.png,0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,BJovanovski,SRB,ACornet,FRA,WS163,FALSE
24,2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0024.png,0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,BJovanovski,SRB,ACornet,FRA,WS163,FALSE
25,2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0025.png,0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,BJovanovski,SRB,ACornet,FRA,WS163,FALSE
26,2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0026.png,0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,BJovanovski,SRB,ACornet,FRA,WS163,FALSE
27,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0001.png,0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
28,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0002.png,0,1,4,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
29,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0003.png,0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
30,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0004.png,0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
31,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0005.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
32,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0006.png,0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
33,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0007.png,0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
34,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0008.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Google,0.072,0,2.701,418,495,68,158,1,FALSE,6930,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
35,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0009.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
36,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0010.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Google,0.072,0,2.692,418,509,0,99,1,FALSE,9009,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
37,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0011.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Google,0.072,0,2.592,283,357,91,177,1,FALSE,6364,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
38,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0012.png,0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
39,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0013.png,0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
40,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0014.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
41,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0015.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Google,0.1,0.004,2.923,343,410,13,91,2,FALSE,5226,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
42,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0015.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Skybiometry,0.01,0,1.312,362,398,40.005,76.005,2,FALSE,1296,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
43,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0015.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Google,0.1,0.004,2.923,688,743,54,118,4,FALSE,3520,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
44,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0015.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Animetrics,0.16,0.01,4.757,283,516,21,254,1,FALSE,54289,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
45,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0016.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Google,0.072,0,2.965,340,418,32,123,1,FALSE,7098,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
46,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0017.png,0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
47,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0018.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Google,0.06,0,2.6,328,408,35,129,1,FALSE,7520,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
48,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0019.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Google,0.064,0,2.686,409,484,55,143,1,FALSE,6600,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
49,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0019.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Microsoft,0.28,0.01,1.822,418,465,84,131,1,FALSE,2209,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
50,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0020.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
51,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0021.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
52,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0022.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
53,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0023.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
54,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0024.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Google,0.06,0.004,3.459,361,428,52,129,1,FALSE,5159,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
55,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0025.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Google,0.072,0,2.989,288,351,58,131,1,FALSE,4599,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
56,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0026.png,0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
57,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0027.png,0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
58,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0028.png,0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
59,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0029.png,0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
60,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0030.png,0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
61,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0031.png,0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
62,2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0032.png,0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,CGarcia,FRA,BStrycova,CZE,WS145,FALSE
63,2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0001.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Animetrics,0.15,0,4.652,405,474,58,127,1,FALSE,4761,2016,CT6,R01,EKulichkova,RUS,APetkovic,GER,WS128,FALSE
64,2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0001.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Google,0.072,0,3.104,386,466,47,140,1,FALSE,7440,2016,CT6,R01,EKulichkova,RUS,APetkovic,GER,WS128,FALSE
65,2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0001.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Skybiometry,0.01,0,1.286,422.96,458.96,76.005,112.005,1,FALSE,1296,2016,CT6,R01,EKulichkova,RUS,APetkovic,GER,WS128,FALSE
66,2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0001.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Microsoft,0.3,0,2.068,419,465,75,121,1,FALSE,2116,2016,CT6,R01,EKulichkova,RUS,APetkovic,GER,WS128,FALSE
67,2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0002.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Google,0.068,0,2.596,375,447,82,166,1,FALSE,6048,2016,CT6,R01,EKulichkova,RUS,APetkovic,GER,WS128,FALSE
68,2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0002.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Skybiometry,0,0,1.281,401.96,439.96,117.99,155.97,1,FALSE,1443.24,2016,CT6,R01,EKulichkova,RUS,APetkovic,GER,WS128,FALSE
69,2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0002.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Microsoft,0.28,0,2.182,397,442,116,161,1,FALSE,2025,2016,CT6,R01,EKulichkova,RUS,APetkovic,GER,WS128,FALSE
70,2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0003.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Google,0.084,0.004,2.786,345,418,78,163,1,FALSE,6205,2016,CT6,R01,EKulichkova,RUS,APetkovic,GER,WS128,FALSE
71,2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0003.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Microsoft,0.28,0,2.232,366,411,112,157,1,FALSE,2025,2016,CT6,R01,EKulichkova,RUS,APetkovic,GER,WS128,FALSE
72,2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0004.png,0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,EKulichkova,RUS,APetkovic,GER,WS128,FALSE
73,2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0005.png,0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,EKulichkova,RUS,APetkovic,GER,WS128,FALSE
74,2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0006.png,0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,EKulichkova,RUS,APetkovic,GER,WS128,FALSE
75,2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0007.png,0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,EKulichkova,RUS,APetkovic,GER,WS128,FALSE
76,2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0008.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Skybiometry,0.01,0,1.349,351,385,67.995,102.015,1,FALSE,1156.68,2016,CT6,R01,EKulichkova,RUS,APetkovic,GER,WS128,FALSE
77,2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0008.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Google,0.076,0,2.692,350,401,52,112,1,FALSE,3060,2016,CT6,R01,EKulichkova,RUS,APetkovic,GER,WS128,FALSE
78,2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0009.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Animetrics,0.15,0.01,6.716,468,516,87,135,1,FALSE,2304,2016,CT6,R01,EKulichkova,RUS,APetkovic,GER,WS128,FALSE
79,2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0009.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Microsoft,0.25,0.05,2.107,465,518,82,135,1,FALSE,2809,2016,CT6,R01,EKulichkova,RUS,APetkovic,GER,WS128,FALSE
80,2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0009.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Google,0.096,0,2.59,459,540,53,146,1,FALSE,7533,2016,CT6,R01,EKulichkova,RUS,APetkovic,GER,WS128,FALSE
81,2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0009.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Animetrics,0.15,0.01,6.716,52,93,165,206,2,FALSE,1681,2016,CT6,R01,EKulichkova,RUS,APetkovic,GER,WS128,FALSE
82,2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0009.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Google,0.096,0,2.59,47,119,133,217,2,FALSE,6048,2016,CT6,R01,EKulichkova,RUS,APetkovic,GER,WS128,FALSE
83,2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0009.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Skybiometry,0,0,1.363,471,513,86.0175,128.0025,1,FALSE,1763.37,2016,CT6,R01,EKulichkova,RUS,APetkovic,GER,WS128,FALSE
84,2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0010.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Skybiometry,0,0,1.365,505.52,542.48,74.52,111.51,1,FALSE,1367.1504,2016,CT6,R01,EKulichkova,RUS,APetkovic,GER,WS128,FALSE
85,2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0010.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Google,0.06,0.004,2.459,501,572,45,128,1,FALSE,5893,2016,CT6,R01,EKulichkova,RUS,APetkovic,GER,WS128,FALSE
86,2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0010.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Microsoft,0.29,0,2.089,498,548,70,120,1,FALSE,2500,2016,CT6,R01,EKulichkova,RUS,APetkovic,GER,WS128,FALSE
87,2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0011.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Animetrics,0.15,0,4.869,421,490,53,122,1,FALSE,4761,2016,CT6,R01,EKulichkova,RUS,APetkovic,GER,WS128,FALSE
88,2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0011.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Skybiometry,0,0.01,1.347,437,475,71.01,108.99,1,FALSE,1443.24,2016,CT6,R01,EKulichkova,RUS,APetkovic,GER,WS128,FALSE
89,2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0011.png,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Microsoft,0.29,0,2.139,430,479,67,116,1,FALSE,2401,2016,CT6,R01,EKulichkova,RUS,APetkovic,GER,WS128,FALSE
